,Date,Time,Vrms ph-n AN Avg,Vrms ph-n BN Avg,Vrms ph-n CN Avg,Vrms ph-n NG Avg,Current A Avg,Current B Avg,Current C Avg,Current Phi AN Avg,Current Phi BN Avg,Current Phi CN Avg,Active Power Total Avg,Apparent Power Total Avg,Reactive Power Total Avg,Cos Phi AN Avg,Cos Phi BN Avg,Cos Phi CN Avg,Cos Phi Total Avg
1291,2019-09-01,2:07:13 AM.135,248.1,247.92,248.28,0.78,882.4,828.6,777.7,-5.98,-132.32,-247.2,600600,618300,88500,0.99,0.98,0.99,0.99
1292,2019-09-01,2:07:43 AM.135,248.28,248.08,248.5,0.76,903.4,853.5,799.3,-6.02,-132.24,-247.24,617550,635400,91050,0.99,0.98,0.99,0.99
1293,2019-09-01,2:08:13 AM.135,248.28,248.08,248.4,0.8,898.1,843.9,793.3,-5.96,-132.18,-247.16,612300,630150,89400,0.99,0.98,0.99,0.99
1294,2019-09-01,2:08:43 AM.135,248.3,247.98,247.82,0.8,905.3,849.4,790.0,-5.68,-132.74,-247.2,613800,632100,90000,1.0,0.98,0.99,0.99
1295,2019-09-01,2:09:13 AM.135,248.06,247.62,247.58,0.72,918.9,859.4,803.0,-5.72,-132.44,-247.18,622350,640350,90450,1.0,0.98,0.99,0.99
1296,2019-09-01,2:09:43 AM.135,248.0,247.38,247.44,0.74,909.2,844.3,797.0,-5.54,-131.78,-246.72,615150,632400,84900,1.0,0.98,0.99,0.99
1297,2019-09-01,2:10:13 AM.135,247.92,247.06,246.86,0.76,920.0,856.0,804.2,-5.84,-132.22,-246.96,621450,639000,88950,0.99,0.98,0.99,0.99
1298,2019-09-01,2:10:43 AM.135,247.92,247.0,246.68,0.68,928.3,864.8,809.7,-5.92,-132.54,-247.42,626700,644250,92700,0.99,0.98,0.99,0.99
1299,2019-09-01,2:11:13 AM.135,247.92,247.18,246.92,0.58,926.2,865.4,811.6,-6.12,-132.5,-247.7,627300,644850,94500,0.99,0.98,0.99,0.99
1300,2019-09-01,2:11:43 AM.135,248.08,247.62,247.6,0.62,917.0,858.2,807.9,-6.04,-132.1,-247.46,623550,640800,91650,0.99,0.98,0.99,0.99
1301,2019-09-01,2:12:13 AM.135,248.2,247.98,248.22,0.64,891.8,835.5,788.4,-5.9,-131.88,-247.28,608100,624900,87900,0.99,0.98,0.99,0.99
1302,2019-09-01,2:12:43 AM.135,248.36,248.04,248.28,0.66,853.7,802.2,754.4,-5.64,-132.1,-246.96,583200,598950,83100,1.0,0.98,0.99,0.99
1303,2019-09-01,2:13:13 AM.135,248.66,248.42,248.82,0.66,841.9,789.5,743.5,-5.44,-131.98,-246.7,575700,591150,80250,1.0,0.98,0.99,0.99
1304,2019-09-01,2:13:43 AM.135,248.7,248.5,249.02,0.7,834.2,782.0,736.8,-5.34,-131.86,-246.56,570600,586050,78450,1.0,0.98,0.99,0.99
1305,2019-09-01,2:14:13 AM.135,248.56,248.3,248.84,0.78,869.4,818.4,773.9,-5.74,-131.96,-246.86,595800,612450,84750,0.99,0.98,0.99,0.99
1306,2019-09-01,2:14:43 AM.135,248.72,248.46,249.0,0.78,882.6,832.1,786.5,-6.02,-132.2,-247.16,605550,622800,88950,0.99,0.98,0.99,0.99
